CCAA,Fecha,OCUPADAS_COVID19
ASTURIAS,2020-12-22,342
ASTURIAS,2020-12-23,301
ASTURIAS,2020-12-24,285
ASTURIAS,2020-12-25,276
ASTURIAS,2020-12-26,272
ASTURIAS,2020-12-27,293
ASTURIAS,2020-12-28,287
ASTURIAS,2020-12-29,269
ASTURIAS,2020-12-30,242
ASTURIAS,2020-12-31,240
ASTURIAS,2021-01-01,231
ASTURIAS,2021-01-02,235
ASTURIAS,2021-01-03,250
ASTURIAS,2021-01-04,243
ASTURIAS,2021-01-05,238
ASTURIAS,2021-01-06,253
ASTURIAS,2021-01-07,242
ASTURIAS,2021-01-08,229
ASTURIAS,2021-01-09,236
ASTURIAS,2021-01-10,271
ASTURIAS,2021-01-11,285
ASTURIAS,2021-01-12,297
ASTURIAS,2021-01-13,304
ASTURIAS,2021-01-14,298
ASTURIAS,2021-01-15,290
ASTURIAS,2021-01-16,290
ASTURIAS,2021-01-17,338
ASTURIAS,2021-01-18,367
ASTURIAS,2021-01-19,382
ASTURIAS,2021-01-20,403
ASTURIAS,2021-01-21,424
ASTURIAS,2021-01-22,436
ASTURIAS,2021-01-23,439
ASTURIAS,2021-01-24,486
ASTURIAS,2021-01-25,509
ASTURIAS,2021-01-26,558
ASTURIAS,2021-01-27,577
ASTURIAS,2021-01-28,572
ASTURIAS,2021-01-29,577
ASTURIAS,2021-01-30,602
ASTURIAS,2021-01-31,683
ASTURIAS,2021-02-01,680
ASTURIAS,2021-02-02,693
ASTURIAS,2021-02-03,679
ASTURIAS,2021-02-04,659
ASTURIAS,2021-02-05,655
ASTURIAS,2021-02-06,668
ASTURIAS,2021-02-07,728
ASTURIAS,2021-02-08,703
ASTURIAS,2021-02-09,691
ASTURIAS,2021-02-10,698
ASTURIAS,2021-02-11,651
ASTURIAS,2021-02-12,639
ASTURIAS,2021-02-13,641
ASTURIAS,2021-02-14,668
ASTURIAS,2021-02-15,625
ASTURIAS,2021-02-16,589
ASTURIAS,2021-02-17,573
ASTURIAS,2021-02-18,539
ASTURIAS,2021-02-19,499
ASTURIAS,2021-02-20,494
ASTURIAS,2021-02-21,512
ASTURIAS,2021-02-22,482
ASTURIAS,2021-02-23,463
ASTURIAS,2021-02-24,447
ASTURIAS,2021-02-25,416
ASTURIAS,2021-02-26,394
ASTURIAS,2021-02-27,393
ASTURIAS,2021-02-28,404
ASTURIAS,2021-03-01,384
ASTURIAS,2021-03-02,386
ASTURIAS,2021-03-03,377
ASTURIAS,2021-03-04,374
ASTURIAS,2021-03-05,349
