Sexo;Comunidades y provincias;Edad (hasta 100 y más);Total
Ambos sexos;León;35-39;27.187
Ambos sexos;León;40-44;32.709
Ambos sexos;León;45-49;34.209
Ambos sexos;León;50-54;35.735
Ambos sexos;León;55-59;37.639
Ambos sexos;León;60-64;36.073
Ambos sexos;León;65-69;29.532
Ambos sexos;León;70-74;25.995
Ambos sexos;León;75-79;22.311
Ambos sexos;León;80-84;18.471
Ambos sexos;León;85-89;17.346
Ambos sexos;León;90-94;8.417
Ambos sexos;León;95-99;2.259
Ambos sexos;León;100 y más;375
Ambos sexos;Palencia;Total;159.066
Ambos sexos;Palencia;0-4;5.083
Ambos sexos;Palencia;5-9;6.117
Ambos sexos;Palencia;10-14;6.364
Ambos sexos;Palencia;15-19;6.546
Ambos sexos;Palencia;20-24;6.744
Ambos sexos;Palencia;25-29;7.072
Ambos sexos;Palencia;30-34;7.962
Ambos sexos;Palencia;35-39;9.556
Ambos sexos;Palencia;40-44;11.442
Ambos sexos;Palencia;45-49;11.567
Ambos sexos;Palencia;50-54;12.446
Ambos sexos;Palencia;55-59;13.384
Ambos sexos;Palencia;60-64;13.234
Ambos sexos;Palencia;65-69;10.876
Ambos sexos;Palencia;70-74;9.001
Ambos sexos;Palencia;75-79;7.460
Ambos sexos;Palencia;80-84;5.388
Ambos sexos;Palencia;85-89;5.155
Ambos sexos;Palencia;90-94;2.756
Ambos sexos;Palencia;95-99;818
Ambos sexos;Palencia;100 y más;95
Ambos sexos;Salamanca;Total;326.934
Ambos sexos;Salamanca;0-4;9.949
Ambos sexos;Salamanca;5-9;12.326
Ambos sexos;Salamanca;10-14;14.016
Ambos sexos;Salamanca;15-19;14.251
Ambos sexos;Salamanca;20-24;14.720
Ambos sexos;Salamanca;25-29;15.333
Ambos sexos;Salamanca;30-34;16.198
Ambos sexos;Salamanca;35-39;18.954
Ambos sexos;Salamanca;40-44;22.434
Ambos sexos;Salamanca;45-49;24.160
Ambos sexos;Salamanca;50-54;25.857
Ambos sexos;Salamanca;55-59;26.478
Ambos sexos;Salamanca;60-64;24.462
Ambos sexos;Salamanca;65-69;19.836
Ambos sexos;Salamanca;70-74;18.373
Ambos sexos;Salamanca;75-79;16.573
Ambos sexos;Salamanca;80-84;13.321
Ambos sexos;Salamanca;85-89;11.589
Ambos sexos;Salamanca;90-94;5.958
Ambos sexos;Salamanca;95-99;1.875
Ambos sexos;Salamanca;100 y más;271
Ambos sexos;Segovia;Total;153.422
Ambos sexos;Segovia;0-4;5.425
Ambos sexos;Segovia;5-9;6.693
Ambos sexos;Segovia;10-14;7.393
Ambos sexos;Segovia;15-19;7.453
Ambos sexos;Segovia;20-24;7.589
Ambos sexos;Segovia;25-29;7.640
Ambos sexos;Segovia;30-34;7.932
Ambos sexos;Segovia;35-39;9.399
Ambos sexos;Segovia;40-44;11.284
Ambos sexos;Segovia;45-49;12.036
Ambos sexos;Segovia;50-54;12.484
Ambos sexos;Segovia;55-59;12.510
Ambos sexos;Segovia;60-64;10.964
Ambos sexos;Segovia;65-69;8.348
Ambos sexos;Segovia;70-74;7.208
Ambos sexos;Segovia;75-79;6.160
Ambos sexos;Segovia;80-84;5.118
Ambos sexos;Segovia;85-89;4.628
Ambos sexos;Segovia;90-94;2.403
Ambos sexos;Segovia;95-99;658
